metric,ref_period,year,n_ref,n_year,mean_ref,mean_year,diff,t_value,p_raw,effect_size_d,p_fdr,significant
adverbs,2020–2022,2024,3680,2447,0.018016713984260607,0.021892588957055214,0.0038758749727946067,-5.2498808396228265,1.622173801039852e-07,0.14545865864160776,,False
adverbs,2020–2022,2025,3680,2143,0.018016713984260607,0.015420802613159122,-0.0025959113711014857,4.911215647604462,9.456199411793147e-07,-0.13814265416703278,,False
adverbs_ambiguity,2020–2022,2023,3680,1796,1.9995833340719062,1.8769210077951004,-0.12266232627680584,1.910755889419736,0.05611715864146325,-0.05512726981398736,,False
adverbs_ambiguity,2020–2022,2024,3680,2447,1.9995833340719062,1.8021559304703476,-0.19742740360155864,3.423181234815643,0.0006236714558696566,-0.0892990496002068,,False
adverbs_ambiguity,2020–2022,2025,3680,2143,1.9995833340719062,1.9695052123191785,-0.030078121752727727,0.4665097654558013,0.6408754591837902,-0.012855567798657343,,False
anaphoric_refs,2020–2022,2023,3680,1796,0.1964936263238901,0.18706698218262804,-0.00942664414126207,0.4767220027469586,0.6335869041303782,-0.013492941778231899,,False
anaphoric_refs,2020–2022,2024,3680,2447,0.1964936263238901,0.14430135378323108,-0.05219227254065903,3.154879922345736,0.0016135706328219783,-0.08010738603473216,,False
anaphoric_refs,2020–2022,2025,3680,2143,0.1964936263238901,0.08843852543163788,-0.10805510089225223,7.100161216533096,1.3949173456822402e-12,-0.1801146728665825,,False
and_ratio,2020–2022,2023,3680,1796,0.030203230340919193,0.030587410913140312,0.00038418057222111904,-0.8123147277304208,0.4166665788624573,0.02348146289191929,,False
and_ratio,2020–2022,2024,3680,2447,0.030203230340919193,0.03268640490797546,0.0024831745670562677,-5.4152343634481985,6.422419480099453e-08,0.14312823576327252,,False
and_ratio,2020–2022,2025,3680,2143,0.030203230340919193,0.0382720671955203,0.008068836854601108,-17.003569696834532,1.0845549146268587e-62,0.46914992191273885,,False
arg_ovl,2020–2022,2023,3680,1796,1.5053492327385856,1.4609556570155904,-0.04439357572299518,1.2487706421454818,0.2118295839105824,-0.03581921773431405,,False
arg_ovl,2020–2022,2024,3680,2447,1.5053492327385856,1.3578700695296524,-0.14747916320893317,4.676700272145918,2.9856589311250918e-06,-0.1212574089535417,,False
arg_ovl,2020–2022,2025,3680,2143,1.5053492327385856,1.056612057862809,-0.44873717487577647,15.432156039708119,1.2818405918298758e-52,-0.4040749616146097,,False
brunet,2020–2022,2023,3680,1796,9.98802516788844,9.904436391982184,-0.08358877590625546,3.7508103097344616,0.00017887995777676784,-0.10652997771627978,,False
brunet,2020–2022,2024,3680,2447,9.98802516788844,9.590457304703476,-0.39756786318496395,12.752346431931155,1.8731431211016323e-36,-0.34865910289630303,,False
brunet,2020–2022,2025,3680,2143,9.98802516788844,9.768515310312646,-0.2195098575757939,9.242907653331509,3.759790047607086e-20,-0.254697450476368,,False
cau_neg_conn_ratio,2020–2022,2023,3680,1796,0.001102964867222345,0.0013051280623608017,0.0002021631951384566,-2.1845607996534477,0.02899248906183632,0.06403216601923717,,False
cau_neg_conn_ratio,2020–2022,2024,3680,2447,0.001102964867222345,0.0011703271983640082,6.73623311416632e-05,-0.838065338162673,0.40203369973701186,0.021976782705879237,,False
cau_neg_conn_ratio,2020–2022,2025,3680,2143,0.001102964867222345,0.0014565748950069995,0.00035361002778465443,-3.977534241543663,7.08671277025799e-05,0.1100383358484892,,False
cau_pos_conn_ratio,2020–2022,2023,3680,1796,0.04534366139640383,0.04652275055679287,0.0011790891603890435,-2.08516238263902,0.037124232802130036,0.05979283080444454,,False
cau_pos_conn_ratio,2020–2022,2024,3680,2447,0.04534366139640383,0.04274397546012269,-0.0025996859362811334,4.853084024083724,1.2520683158905382e-06,-0.1272069222311176,,False
cau_pos_conn_ratio,2020–2022,2025,3680,2143,0.04534366139640383,0.042667508166122255,-0.002676153230281572,5.223505225878853,1.8297120531899653e-07,-0.14022295414805894,,False
conn_ratio,2020–2022,2023,3680,1796,0.08610865833216777,0.08757275055679288,0.0014640922246251104,-2.0121806499117856,0.04427266892094279,0.057405378747245994,,False
conn_ratio,2020–2022,2024,3680,2447,0.08610865833216777,0.08454503476482617,-0.0015636235673416043,2.06430801517284,0.03904394725275079,-0.05471975899515311,,False
conn_ratio,2020–2022,2025,3680,2143,0.08610865833216777,0.09029568362109193,0.004187025288924159,-5.9362080952079594,3.135078318536893e-09,0.16105329089399265,,False
content_density,2020–2022,2023,3680,1796,1.483962250627612,1.4804001336302894,-0.003562116997322562,0.44037586778525944,0.6596841688352832,-0.011830220396509512,,False
content_density,2020–2022,2024,3680,2447,1.483962250627612,1.5369453251533742,0.05298307452576223,-6.849133895950067,8.158924874387154e-12,0.17272113749889242,,False
content_density,2020–2022,2025,3680,2143,1.483962250627612,1.624704988334111,0.14074273770649892,-16.965374844489755,6.303534810215208e-63,0.4455724947568001,,False
content_words,2020–2022,2023,3680,1796,0.5928423151273291,0.5934950501113585,0.0006527349840294017,-0.6234925071085199,0.532998541215445,0.017741136159317744,,False
content_words,2020–2022,2024,3680,2447,0.5928423151273291,0.6022126748466258,0.009370359719296673,-9.62176541193384,9.700816447704982e-22,0.25023769580597116,,False
content_words,2020–2022,2025,3680,2143,0.5928423151273291,0.6151726271581895,0.022330312030860444,-21.870060296161807,6.813999865295263e-101,0.5929021596361357,,False
cross_entropy,2020–2022,2023,3680,1796,0.5064313702145963,0.4954285467706014,-0.011002823443994891,5.477730026067071,4.55606002782386e-08,-0.15215584651676542,,False
cross_entropy,2020–2022,2024,3680,2447,0.5064313702145963,0.5100630388548058,0.0036316686402094733,-1.6929808645428668,0.09052119273014701,0.044430517295911486,,False
cross_entropy,2020–2022,2025,3680,2143,0.5064313702145963,0.5152692113859075,0.008837841171311256,-4.538710328397631,5.790223040467575e-06,0.12056995290600572,,False
cw_freq,2020–2022,2023,3680,1796,458579.61400023807,459366.23483413697,786.6208338988945,-0.06090040739242952,0.9514419814513722,0.001756768477738989,,False
cw_freq,2020–2022,2024,3680,2447,458579.61400023807,475524.8024935542,16945.18849331612,-1.441920618965288,0.149385396249888,0.03768980994304024,,False
cw_freq,2020–2022,2025,3680,2143,458579.61400023807,411623.09839574894,-46956.515604489134,4.033007256328054,5.5940258685310555e-05,-0.10870408536722061,,False
cw_freq_bra,2020–2022,2023,3680,1796,4.565429700683053,4.614279749443208,0.04885004876015486,-5.375605023099786,8.043682827583626e-08,0.14957848152098593,,False
cw_freq_bra,2020–2022,2024,3680,2447,4.565429700683053,4.608641435582822,0.04321173489976893,-4.803464214440619,1.601310566681214e-06,0.12459380912878706,,False
cw_freq_bra,2020–2022,2025,3680,2143,4.565429700683053,4.485482855809612,-0.07994684487344106,8.933707916570159,5.705812596720345e-19,-0.23854282708661956,,False
cw_freq_brwac,2020–2022,2023,3680,1796,4.205085095601739,4.260556397550112,0.0554713019483728,-5.26498617136966,1.4737412073423878e-07,0.14740723647692688,,False
cw_freq_brwac,2020–2022,2024,3680,2447,4.205085095601739,4.2553053128834355,0.05022021728169612,-4.6343843175545025,3.6695083409636583e-06,0.12140457617124849,,False
cw_freq_brwac,2020–2022,2025,3680,2143,4.205085095601739,4.119748782081194,-0.08533631352054538,8.3106071206015,1.2205653805351977e-16,-0.2224346508326586,,False
dep_distance,2020–2022,2023,3680,1796,62.84427358473148,58.3010504844098,-4.543223100321683,5.469464423134326,4.747497038496963e-08,-0.14870547633381578,,False
dep_distance,2020–2022,2024,3680,2447,62.84427358473148,56.40890779141103,-6.43536579332045,8.294691063229386,1.3285793568603287e-16,-0.20969376366750403,,False
dep_distance,2020–2022,2025,3680,2143,62.84427358473148,56.03850985067662,-6.805763734054864,9.241763222765801,3.3322212121872395e-20,-0.23522880255580186,,False
flesch,2020–2022,2023,3680,1796,10.135473771167206,10.440688786191537,0.3052150150243307,-0.7270443722325399,0.4672452106843398,0.020811732201953682,,False
flesch,2020–2022,2024,3680,2447,10.135473771167206,9.586538715746423,-0.5489350554207828,1.1764098791768844,0.23949680491683117,-0.03150522513863298,,False
flesch,2020–2022,2025,3680,2143,10.135473771167206,4.022521661222585,-6.1129521099446205,14.046629758822718,8.290030897305389e-44,-0.38717031668020774,,False
frazier,2020–2022,2023,3680,1796,7.234028732145239,7.185864716035636,-0.0481640161096033,2.386377470715097,0.017067382428458917,-0.06873457008925116,,False
frazier,2020–2022,2024,3680,2447,7.234028732145239,7.107640768916155,-0.1263879632290843,6.357733806039215,2.239939070883683e-10,-0.16807501879564396,,False
frazier,2020–2022,2025,3680,2143,7.234028732145239,7.171979006066262,-0.06204972607897741,3.190452732876548,0.0014306006565020883,-0.08710552656727684,,False
freq_bra,2020–2022,2023,3680,1796,5.527321536296823,5.558114181514476,0.030792645217653458,-4.584075499835128,4.698128504245062e-06,0.12880568382295646,,False
freq_bra,2020–2022,2024,3680,2447,5.527321536296823,5.539100556237218,0.011779019940395763,-1.9493752294067574,0.05129881549201296,0.04997392252420133,,False
freq_bra,2020–2022,2025,3680,2143,5.527321536296823,5.441191404573029,-0.08613013172379347,12.984882569815028,6.569536203642294e-38,-0.3495566915301953,,False
freq_brwac,2020–2022,2023,3680,1796,5.282336330226613,5.319580194877505,0.037243864650892355,-4.520160037814009,6.3548280576917135e-06,0.1267653822658909,,False
freq_brwac,2020–2022,2024,3680,2447,5.282336330226613,5.301809333333333,0.019473003106719844,-2.5225333512702055,0.01167874169052102,0.06508922205264284,,False
